Dimension,Name,Adjective,Demonym
Country,Taiwan,"Taiwanese, Formosan","Taiwanese, Formosans"
Country,Tajikistan,Tajikistani,"Tajikistanis, Tajiks"
Country,Tanzania,Tanzanian,Tanzanians
Country,Thailand,Thai,Thai
Country,Timor-Leste,Timorese,Timorese
Country,Togo,Togolese,Togolese
Country,Tokelau,Tokelauan,Tokelauans
Country,Tonga,Tongan,Tongans
Country,Trinidad and Tobago,"Trinidadian, Tobagonian","Trinidadians, Tobagonians"
Country,Tunisia,Tunisian,Tunisians
Country,Turkey,Turkish,Turks
Country,Turkmenistan,Turkmen,Turkmens
Country,Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islanders
Country,Tuvalu,Tuvaluan,Tuvaluans
Country,Uganda,Ugandan,Ugandans
Country,Ukraine,Ukrainian,Ukrainians
Country,United Arab Emirates,"Emirati, Emirian, Emiri","Emiratis, Emirians, Emiri"
Country,United Kingdom, Great Britain, Northern Ireland,"British, United Kingdom, UK","Brits, Britons, British people"
Country,United States of America,"American, United States, U.S.",Americans
Country,Uruguay,Uruguayan,Uruguayans
Country,Uzbekistan,"Uzbekistani, Uzbek","Uzbekistanis, Uzbeks"
Country,Vanuatu,"Ni-Vanuatu, Vanuatuan",Ni-Vanuatu
Country,Vatican City,Vaticanian,Vaticanians
Country,Venezuela,Venezuelan,Venezuelans
Country,Vietnam,Vietnamese,Vietnamese
Country,British Virgin Islands,British Virgin Island,British Virgin Islanders
Country,United States Virgin Islands,U.S. Virgin Island,U.S. Virgin Islanders
Country,Wales,Welsh,"Welshmen, Welshwomen"
Country,Wallis and Futuna,"Wallis and Futuna, Wallisian, Futunan","Wallis and Futuna Islanders, Wallisians, Futunans"
Country,Western Sahara,"Sahrawi, Sahrawian, Sahraouian","Sahrawis, Sahraouis"
Country,Yemen,Yemeni,Yemenis
Country,Zambia,Zambian,Zambians
Country,Zanzibar,Zanzibari,Zanzibaris
Country,Zimbabwe,Zimbabwean,Zimbabweans
